PLAYER,TEAM,DRIVES
Aaron Brooks,MIN,1.8
Aaron Gordon,ORL,5.2
Aaron Harrison,DAL,2.4
Abdel Nader,BOS,2.2
Adreian Payne,ORL,0.2
Al Horford,BOS,2.9
Al Jefferson,IND,0.1
Al-Farouq Aminu,POR,3.1
Alan Williams,PHX,0.4
Alec Burks,UTA,4.9
Alec Peters,PHX,0.3
Alex Abrines,OKC,0.9
Alex Caruso,LAL,2.6
Alex Len,PHX,0.4
Alex Poythress,IND,0.2
Alfonzo McKinnie,TOR,0.4
Allen Crabbe,BKN,3.2
Amir Johnson,PHI,0.4
Andre Drummond,DET,2.1
Andre Iguodala,GSW,1.8
Andre Ingram,LAL,2.5
Andre Roberson,OKC,0.5
Andrew Bogut,LAL,0.1
Andrew Harrison,MEM,8.8
Andrew White III,ATL,1.2
Andrew Wiggins,MIN,7.7
Ante Zizic,CLE,0.1
Anthony Brown,MIN,0
Anthony Davis,NOP,4.1
Anthony Tolliver,DET,1.2
Antonio Blakeney,CHI,2.8
Antonius Cleveland,ATL,0.9
Aron Baynes,BOS,0.1
Arron Afflalo,ORL,1
Austin Rivers,LAC,12.4
Avery Bradley,LAC,4.4
Bam Adebayo,MIA,0.8
Ben McLemore,MEM,2
Ben Moore,IND,0
Ben Simmons,PHI,15.5
Bismack Biyombo,ORL,0.1
Blake Griffin,DET,7
Boban Marjanovic,LAC,0
Bobby Brown,HOU,1.1
Bobby Portis,CHI,2
Bogdan Bogdanovic,SAC,6.7
Bojan Bogdanovic,IND,4.9
Bradley Beal,WAS,10.4
Brandan Wright,HOU,0.4
Brandon Ingram,LAL,10.6
Brandon Jennings,MIL,4.1
Brandon Paul,SAS,1
Briante Weber,MEM,3.1
Brice Johnson,MEM,0.2
Brook Lopez,LAL,1.9
Bruno Caboclo,SAC,0.2
Bryn Forbes,SAS,2.8
Buddy Hield,SAC,4.4
C.J. Williams,LAC,2.1
CJ McCollum,POR,9.8
CJ Miles,TOR,2
Caleb Swanigan,POR,0.1
Cameron Payne,CHI,6.2
Caris LeVert,BKN,11
Carmelo Anthony,OKC,1.7
Cedi Osman,CLE,0.9
Chandler Parsons,MEM,3.6
Channing Frye,LAL,0.4
Charles Cooke,NOP,0.5
Cheick Diallo,NOP,0.2
Chinanu Onuaku,HOU,1
Chris Boucher,GSW,0
Chris McCullough,WAS,0.6
