PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS
201166,Aaron Brooks,1610612750,MIN,33.0,31,18,13,0.581,6.1,102.0,118.9,-16.9,0.163,2.0,19.3,0.04,0.065,0.052,9.6,0.486,0.508,0.199,97.62,0.046,28,69,0.9,2.2,0.406,356,307,150,162,472,370,510,494,151,138,154,215,500,461,231,341,371,186,406,457,398,394,446,443,377,5,"201166,1610612750"
203932,Aaron Gordon,1610612753,ORL,22.0,53,16,37,0.302,33.7,105.5,107.7,-2.3,0.11,1.32,11.4,0.052,0.218,0.133,8.6,0.504,0.535,0.24,101.7,0.115,349,799,6.6,15.1,0.437,269,329,433,435,32,245,336,305,240,295,375,169,93,125,157,280,287,87,105,111,81,67,40,38,278,5,"203932,1610612753"
1626151,Aaron Harrison,1610612742,DAL,23.0,5,1,4,0.2,19.4,94.6,108.3,-13.7,0.068,4.0,11.4,0.011,0.125,0.067,2.9,0.296,0.366,0.146,99.58,0.02,7,27,1.4,5.4,0.259,481,489,58,487,258,482,365,482,401,16,374,463,308,358,27,503,495,399,242,496,454,441,390,266,504,5,"1626151,1610612742"
1627846,Abdel Nader,1610612738,BOS,24.0,42,31,11,0.738,10.6,96.7,108.3,-11.6,0.081,0.76,11.4,0.025,0.121,0.073,15.1,0.429,0.46,0.169,99.11,0.034,43,126,1.0,3.0,0.341,323,181,137,42,410,472,361,466,346,451,372,317,322,324,483,448,449,296,281,485,376,355,427,400,464,5,"1627846,1610612738"
203940,Adreian Payne,1610612753,ORL,27.0,5,0,5,0.0,8.5,98.7,120.9,-22.2,0.0,0.0,0.0,0.054,0.25,0.138,13.7,0.8,0.831,0.151,98.49,0.12,7,10,1.4,2.0,0.7,481,511,70,511,439,452,515,509,503,494,503,161,51,114,444,4,5,378,332,86,454,481,390,449,6,5,"203940,1610612753"
201143,Al Horford,1610612738,BOS,31.0,68,47,21,0.691,31.6,108.4,100.9,7.5,0.228,2.53,27.0,0.05,0.197,0.128,10.6,0.557,0.575,0.187,97.86,0.134,349,710,5.1,10.4,0.492,146,25,240,73,65,114,78,58,88,67,65,176,123,139,294,122,153,223,388,57,81,99,94,111,139,5,"201143,1610612738"
2744,Al Jefferson,1610612754,IND,33.0,34,17,17,0.5,13.6,104.9,107.3,-2.4,0.098,1.45,11.2,0.073,0.252,0.163,7.7,0.531,0.557,0.223,98.23,0.13,104,196,3.1,5.8,0.531,345,321,193,268,368,271,324,309,277,259,379,116,46,66,108,183,209,127,358,61,295,309,216,249,78,5,"2744,1610612754"
202329,Al-Farouq Aminu,1610612757,POR,27.0,64,39,25,0.609,30.0,108.6,103.2,5.5,0.057,1.1,10.7,0.051,0.221,0.136,9.8,0.513,0.533,0.148,99.62,0.093,218,542,3.4,8.5,0.402,191,111,282,129,92,109,130,85,446,359,391,173,88,120,243,255,295,389,239,216,179,153,186,162,384,5,"202329,1610612757"
1626210,Alan Williams,1610612756,PHX,25.0,4,0,4,0.0,16.8,92.5,90.8,1.6,0.195,1.33,22.2,0.045,0.265,0.156,16.7,0.389,0.455,0.186,97.17,0.101,7,18,1.8,4.5,0.389,491,511,58,511,298,495,21,184,112,287,115,195,37,80,500,473,452,226,439,175,454,460,354,323,409,5,"1626210,1610612756"
202692,Alec Burks,1610612762,UTA,26.0,62,35,27,0.565,16.6,106.1,105.9,0.2,0.102,1.1,11.1,0.02,0.189,0.105,10.1,0.464,0.526,0.229,96.96,0.1,164,400,2.6,6.5,0.41,216,150,304,185,304,213,249,229,262,357,382,357,141,199,262,398,320,110,455,179,232,210,251,231,366,5,"202692,1610612762"
1628409,Alec Peters,1610612756,PHX,22.0,16,0,16,0.0,10.2,100.2,107.5,-7.2,0.085,5.0,16.2,0.041,0.127,0.081,3.2,0.354,0.382,0.133,100.92,0.044,13,48,0.8,3.0,0.271,420,511,179,511,415,429,330,413,322,8,211,211,301,283,29,490,491,437,150,460,433,417,457,400,501,5,"1628409,1610612756"
203518,Alex Abrines,1610612760,OKC,24.0,72,40,32,0.556,15.0,106.9,106.7,0.2,0.036,1.08,7.8,0.024,0.092,0.056,7.2,0.543,0.569,0.129,98.39,0.048,110,277,1.5,3.8,0.397,87,101,360,206,333,177,288,231,487,367,466,324,437,438,91,150,170,445,343,446,285,271,375,356,393,5,"203518,1610612760"
1627936,Alex Caruso,1610612747,LAL,24.0,31,14,17,0.452,14.3,101.7,100.1,1.6,0.186,1.84,31.8,0.024,0.09,0.057,17.2,0.465,0.496,0.125,100.54,0.058,36,85,1.2,2.7,0.424,356,350,193,319,355,379,67,183,122,170,35,320,444,432,501,396,407,459,171,413,388,386,416,415,318,5,"1627936,1610612747"
203458,Alex Len,1610612756,PHX,24.0,65,18,47,0.277,19.9,101.2,110.1,-8.9,0.088,1.0,12.5,0.134,0.263,0.198,12.5,0.563,0.613,0.165,103.4,0.129,191,339,2.9,5.2,0.563,176,307,497,457,244,396,432,435,310,383,331,23,39,17,395,110,65,319,39,63,203,242,228,280,60,5,"203458,1610612756"
1627816,Alex Poythress,1610612754,IND,24.0,24,10,14,0.417,4.2,106.1,114.8,-8.7,0.027,1.0,6.9,0.074,0.13,0.099,6.9,0.52,0.52,0.118,96.52,0.036,11,25,0.5,1.0,0.44,381,385,159,346,496,214,497,433,497,383,477,114,294,218,78,217,338,476,472,480,443,446,493,496,266,5,"1627816,1610612754"
1628035,Alfonzo McKinnie,1610612761,TOR,25.0,13,12,1,0.923,3.8,116.1,106.8,9.3,0.028,0.33,5.5,0.0,0.122,0.071,16.4,0.654,0.663,0.172,99.79,0.049,7,13,0.5,1.0,0.538,436,364,13,13,502,13,297,44,495,491,497,485,316,335,495,15,18,278,226,441,454,474,479,497,72,5,"1628035,1610612761"
203459,Allen Crabbe,1610612751,BKN,25.0,71,22,49,0.31,29.4,105.2,109.4,-4.1,0.077,1.4,10.5,0.013,0.144,0.076,7.5,0.512,0.54,0.184,101.49,0.076,305,770,4.3,10.8,0.396,102,261,507,422,99,256,407,349,359,272,401,451,251,310,100,259,275,236,116,322,111,74,138,97,396,5,"203459,1610612751"
101161,Amir Johnson,1610612755,PHI,30.0,68,41,27,0.603,15.4,102.5,101.7,0.8,0.127,1.87,23.8,0.117,0.188,0.153,12.8,0.549,0.566,0.127,102.66,0.083,119,224,1.8,3.3,0.531,146,86,304,135,327,355,97,211,205,167,99,36,145,87,407,135,176,455,67,286,278,298,354,388,77,5,"101161,1610612755"
203083,Andre Drummond,1610612765,DET,24.0,75,36,39,0.48,33.4,105.5,106.4,-0.9,0.141,1.19,15.9,0.164,0.367,0.263,13.4,0.528,0.557,0.21,98.9,0.159,446,845,5.9,11.3,0.528,53,140,448,295,38,243,276,268,182,338,222,7,4,4,431,192,210,155,298,30,37,55,57,83,83,5,"203083,1610612765"
2738,Andre Iguodala,1610612744,GSW,34.0,63,46,17,0.73,25.4,110.6,100.6,9.9,0.167,3.06,32.8,0.037,0.125,0.084,10.7,0.518,0.539,0.116,100.97,0.081,146,314,2.3,5.0,0.465,201,35,193,50,159,66,73,39,145,33,31,235,307,268,300,235,277,483,142,291,248,259,286,295,194,5,"2738,1610612744"
203460,Andre Roberson,1610612760,OKC,26.0,39,24,15,0.615,26.6,106.4,96.4,10.0,0.059,1.53,18.1,0.078,0.124,0.1,11.8,0.562,0.543,0.087,97.41,0.065,87,162,2.2,4.2,0.537,329,230,169,120,136,197,35,38,434,241,178,106,311,212,355,114,261,518,426,376,313,334,291,338,73,5,"203460,1610612760"
101106,Andrew Bogut,1610612747,LAL,33.0,23,7,16,0.304,9.4,94.2,99.7,-5.5,0.099,0.79,25.1,0.116,0.251,0.181,31.7,0.68,0.696,0.086,102.33,0.081,17,25,0.7,1.1,0.68,384,410,179,429,425,487,62,378,273,445,88,37,47,41,527,10,12,519,79,297,425,446,465,493,8,5,"101106,1610612747"
1626150,Andrew Harrison,1610612763,MEM,23.0,56,17,39,0.304,23.7,100.6,108.2,-7.7,0.222,2.19,23.4,0.02,0.098,0.058,10.7,0.477,0.534,0.201,95.26,0.083,181,429,3.2,7.7,0.422,252,321,448,432,183,420,358,417,92,108,103,360,416,427,297,367,292,177,505,279,215,199,199,187,323,5,"1626150,1610612763"
1628510,Andrew White III,1610612737,ATL,24.0,14,1,13,0.071,14.2,94.3,110.6,-16.3,0.044,0.71,6.0,0.02,0.144,0.081,8.5,0.493,0.488,0.168,102.28,0.054,25,69,1.8,4.9,0.362,430,489,150,509,356,485,447,492,475,460,491,358,252,282,147,325,419,300,82,424,401,394,351,298,453,5,"1628510,1610612737"
203952,Andrew Wiggins,1610612750,MIN,23.0,78,44,34,0.564,36.3,111.1,107.9,3.3,0.078,1.1,8.9,0.029,0.106,0.067,8.1,0.485,0.509,0.234,98.93,0.076,550,1245,7.1,16.0,0.442,1,56,399,186,9,54,345,135,352,361,449,276,385,356,125,342,368,97,295,318,19,16,33,27,263,5,"203952,1610612750"
1627790,Ante Zizic,1610612739,CLE,21.0,29,19,10,0.655,6.4,107.4,111.4,-4.0,0.045,0.5,6.2,0.138,0.196,0.167,12.4,0.719,0.737,0.179,100.82,0.128,41,57,1.4,2.0,0.719,363,293,121,87,469,159,464,344,471,485,487,18,127,59,390,8,7,250,153,67,380,407,388,460,4,5,"1627790,1610612739"
1626148,Anthony Brown,1610612750,MIN,25.0,1,0,1,0.0,3.7,135.1,93.4,41.8,0.333,0.0,50.0,0.0,0.0,0.0,0.0,1.5,1.5,0.113,119.06,0.229,1,1,1.0,1.0,1.0,519,511,13,511,504,3,24,5,19,494,5,485,515,518,1,1,1,491,4,6,499,520,428,497,1,5,"1626148,1610612750"
203076,Anthony Davis,1610612740,NOP,25.0,70,40,30,0.571,36.4,108.0,104.5,3.5,0.105,1.07,8.5,0.077,0.241,0.163,7.9,0.554,0.613,0.295,103.24,0.188,729,1362,10.4,19.5,0.535,115,101,336,175,7,132,181,130,251,371,460,108,60,65,117,128,63,26,44,12,2,6,2,4,74,5,"203076,1610612740"
201229,Anthony Tolliver,1610612765,DET,32.0,74,35,39,0.473,21.5,104.8,104.1,0.7,0.078,1.57,13.5,0.03,0.126,0.077,8.6,0.607,0.642,0.149,98.27,0.084,189,424,2.6,5.7,0.446,69,150,448,304,216,274,159,214,356,235,297,272,305,306,161,36,35,388,353,275,205,200,268,252,250,5,"201229,1610612765"
1628469,Antonio Blakeney,1610612741,CHI,21.0,19,3,16,0.158,16.5,106.6,109.4,-2.8,0.096,1.82,10.5,0.013,0.1,0.055,5.8,0.423,0.471,0.236,99.96,0.064,53,143,2.8,7.5,0.371,401,460,179,498,307,192,409,317,285,174,402,449,401,442,49,454,442,93,212,387,359,347,239,192,448,5,"1628469,1610612741"
1628499,Antonius Cleveland,1610612737,ATL,24.0,13,5,8,0.385,6.2,88.3,99.1,-10.8,0.038,1.0,10.1,0.026,0.108,0.066,10.1,0.286,0.317,0.1,98.73,0.016,4,14,0.3,1.1,0.286,436,434,105,364,471,507,55,459,486,383,416,303,373,361,267,504,507,505,312,499,479,469,504,494,491,5,"1628499,1610612737"
203382,Aron Baynes,1610612738,BOS,31.0,75,52,23,0.693,18.2,104.2,96.7,7.5,0.092,1.14,14.3,0.092,0.218,0.157,12.6,0.477,0.507,0.167,97.1,0.085,187,394,2.5,5.3,0.475,53,14,260,70,282,296,38,60,299,350,266,78,94,75,402,366,378,305,445,267,207,212,275,279,168,5,"203382,1610612738"
201167,Arron Afflalo,1610612753,ORL,32.0,51,15,36,0.294,12.9,101.4,106.9,-5.5,0.066,1.38,13.5,0.007,0.1,0.056,9.8,0.474,0.508,0.129,98.14,0.041,60,153,1.2,3.0,0.392,282,340,426,442,383,392,300,377,408,278,299,479,405,439,247,375,372,449,362,468,350,341,412,400,404,5,"201167,1610612753"
203085,Austin Rivers,1610612746,LAC,25.0,57,29,28,0.509,33.8,108.5,109.5,-1.0,0.174,2.19,19.2,0.016,0.067,0.042,8.8,0.515,0.531,0.21,99.06,0.076,326,758,5.7,13.3,0.43,245,193,313,264,31,111,413,269,138,105,155,420,497,495,170,244,297,157,286,321,93,80,66,54,304,5,"203085,1610612746"
202340,Avery Bradley,1610612746,LAC,27.0,46,22,24,0.478,31.2,103.2,107.0,-3.8,0.105,0.93,11.0,0.016,0.076,0.045,11.8,0.474,0.496,0.233,98.7,0.06,259,625,5.6,13.6,0.414,313,261,270,297,72,328,303,339,254,415,387,412,474,485,358,373,408,100,320,400,144,125,69,52,349,5,"202340,1610612746"
1628389,Bam Adebayo,1610612748,MIA,20.0,65,32,33,0.492,20.1,101.7,103.3,-1.6,0.118,1.61,17.6,0.098,0.22,0.159,10.9,0.514,0.569,0.162,96.15,0.11,166,323,2.6,5.0,0.514,176,173,381,287,239,382,133,290,222,227,184,65,91,71,317,252,171,336,485,133,228,250,269,296,99,5,"1628389,1610612748"
203463,Ben McLemore,1610612763,MEM,25.0,51,6,45,0.118,18.5,98.3,108.9,-10.6,0.078,0.8,9.9,0.035,0.113,0.073,12.4,0.492,0.521,0.189,97.81,0.053,135,323,2.6,6.3,0.418,282,420,483,505,275,457,391,458,357,441,424,244,344,323,388,326,332,216,392,430,262,250,250,234,336,5,"203463,1610612763"
1628500,Ben Moore,1610612754,IND,22.0,2,1,1,0.5,4.6,87.4,163.6,-76.1,0.111,0.0,100.0,0.0,0.333,0.083,0.0,0.0,0.0,0.0,114.48,-0.041,0,0,0.0,0.0,0.0,508,489,13,268,492,509,530,529,237,494,1,485,7,272,1,518,519,527,6,527,518,527,518,527,518,5,"1628500,1610612754"
1627732,Ben Simmons,1610612755,PHI,21.0,75,45,30,0.6,34.1,109.1,101.3,7.8,0.361,2.39,31.5,0.061,0.189,0.128,13.2,0.54,0.553,0.222,102.33,0.152,505,936,6.7,12.5,0.54,53,44,336,137,25,99,86,54,13,77,38,147,142,138,425,159,224,128,80,36,27,39,38,65,71,5,"1627732,1610612755"
202687,Bismack Biyombo,1610612753,ORL,25.0,76,22,54,0.289,18.4,97.7,110.7,-13.0,0.065,0.73,11.2,0.102,0.239,0.169,15.3,0.513,0.551,0.146,98.79,0.093,163,318,2.1,4.2,0.513,30,261,525,448,276,463,451,476,411,455,378,62,63,54,487,256,229,401,308,214,233,257,304,334,102,5,"202687,1610612753"
201933,Blake Griffin,1610612765,DET,29.0,58,28,30,0.483,34.0,107.5,105.6,1.9,0.286,2.02,20.4,0.04,0.195,0.118,10.1,0.493,0.544,0.289,99.75,0.144,436,996,7.5,17.2,0.438,242,202,336,292,28,153,242,174,40,135,139,214,130,162,263,323,255,29,228,47,40,32,23,19,273,5,"201933,1610612765"
