PLAYER,TEAM,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Zhou Qi,HOU,2507.2,0.47,0.26,0.22,4.12,4.25,4.09
Zaza Pachulia,GSW,5232.4,0.99,0.5,0.49,4.26,4.58,3.98
Zach Randolph,SAC,8869.9,1.68,0.9,0.78,3.96,4.06,3.84
Zach LaVine,CHI,10967.7,2.08,1.12,0.96,4.6,5.05,4.17
Zach Collins,POR,5726.4,1.08,0.59,0.5,4.16,4.32,3.99
Yogi Ferrell,DAL,10788,2.04,1.12,0.93,4.42,4.73,4.11
Xavier Silas,BOS,1447,0.27,0.13,0.14,4.02,5.58,4.26
Xavier Rathan-Mayes,MEM,8593,1.63,0.91,0.72,4.65,5.23,4.16
Xavier Munford,MIL,1253.2,0.24,0.13,0.1,4.43,4.81,3.99
Wilson Chandler,DEN,11196.7,2.12,1.11,1.01,4.04,4.18,3.89
Willy Hernangomez,CHA,3947.9,0.75,0.4,0.35,4.38,4.72,4.05
Willie Reed,DET,3811.8,0.72,0.36,0.36,4.27,4.44,4.1
Willie Cauley-Stein,SAC,10598.7,2.01,1.07,0.94,4.31,4.58,4.04
Will Barton,DEN,12052.6,2.28,1.24,1.04,4.21,4.57,3.85
Wesley Matthews,DAL,12471.2,2.36,1.31,1.05,4.21,4.48,3.91
Wesley Johnson,LAC,7461,1.41,0.72,0.69,4.24,4.36,4.11
Wes Iwundu,ORL,6419.8,1.22,0.64,0.57,4.53,4.67,4.39
Wayne Selden,MEM,7412.1,1.4,0.77,0.64,4.28,4.57,3.97
Wayne Ellington,MIA,10144.8,1.92,1.06,0.86,4.36,4.7,4
Walter Lemon Jr.,NOP,1970,0.37,0.19,0.18,4.95,5.17,4.72
Wade Baldwin IV,POR,4732.3,0.9,0.47,0.43,4.82,5.11,4.53
Vincent Hunter,MEM,620.5,0.12,0.06,0.05,4.06,4.99,3.17
Vince Carter,SAC,6103,1.16,0.63,0.53,3.97,4.2,3.72
Victor Oladipo,IND,13279.3,2.52,1.32,1.2,4.45,4.75,4.15
Vander Blue,LAL,3287.4,0.62,0.32,0.3,4.16,4.85,3.61
Udonis Haslem,MIA,1617.3,0.31,0.17,0.14,3.61,3.63,3.58
