Player,Team,PASSES MADE,PASSES RECEIVED,SECONDARY AST,POTENTIAL AST,AST ADJ,PASS% ADJ
Zhou Qi,HOU,5.6,4.2,0,0.6,0.2,3
Zaza Pachulia,GSW,20.6,15.4,0.4,2.7,2.1,10.1
Zach Randolph,SAC,34.8,34.8,0.2,4.5,2.4,7
Zach LaVine,CHI,26.4,37.9,0.3,6.3,3.5,13.2
Zach Collins,POR,13.1,12,0.1,1.4,0.8,6.2
Yogi Ferrell,DAL,34.1,36,0.5,5,3,8.9
Xavier Silas,BOS,3,2.5,0,1.5,0,0
Xavier Rathan-Mayes,MEM,41.6,52.4,0.2,7,4,9.6
Xavier Munford,MIL,5.7,6.2,0,0.7,0.7,11.8
Wilson Chandler,DEN,27,23.9,0.3,4.1,2.5,9.2
Willy Hernangomez,CHA,13.4,9,0.1,1.2,0.8,5.6
Willie Reed,DET,8.5,6.8,0,0.6,0.3,3.1
Willie Cauley-Stein,SAC,39.8,32.2,0.2,4,2.6,6.6
Will Barton,DEN,41.2,45.4,0.4,7.7,4.6,11.2
Wesley Matthews,DAL,32.3,36.5,0.4,5.3,3.2,9.9
Wesley Johnson,LAC,14.4,13.6,0.1,1.3,1,6.8
Wes Iwundu,ORL,13.6,10.9,0.2,1.8,1.1,8.3
Wayne Selden,MEM,18.2,24.9,0.3,3.5,2.2,12.1
Wayne Ellington,MIA,19,23,0.2,2.4,1.4,7.1
Walter Lemon Jr.,NOP,9.4,11.4,0.4,1.2,1,10.6
Wade Baldwin IV,POR,13.1,14,0.1,1,0.9,6.5
Vincent Hunter,MEM,1.3,1.5,0,0.3,0,0
Vince Carter,SAC,22,17.7,0.1,2.2,1.3,6.1
Victor Oladipo,IND,38.9,51.2,0.4,8.8,5,12.9
Vander Blue,LAL,3.8,4.2,0,1,0.6,15.8
Udonis Haslem,MIA,3.6,3.7,0,0.7,0.4,10
Tyus Jones,MIN,31.8,32,0.3,5,3.4,10.5
Tyson Chandler,PHX,27.3,16.1,0.2,2.7,1.4,5.1
Tyrone Wallace,LAC,31.8,34.5,0.5,4,3.1,9.6
Tyreke Evans,MEM,50.8,60.8,0.9,10.5,6.3,12.5
Tyler Zeller,MIL,15.4,13.8,0,1.2,0.8,5.1
Tyler Ulis,PHX,42.2,48.7,0.4,8.8,5.1,12.2
Tyler Lydon,DEN,4,3,0,1,0,0
Tyler Johnson,MIA,28.7,33.5,0.5,4.9,2.8,9.8
Tyler Ennis,LAL,22.1,22.9,0.4,3.8,2.3,10.3
Tyler Dorsey,ATL,17.7,20.2,0.2,2.9,1.7,9.5
Tyler Cavanaugh,ATL,17.5,12.4,0.1,1.6,0.8,4.5
Troy Williams,NYK,12.7,11.5,0.1,1.2,0.9,7.1
Troy Daniels,PHX,15.8,19.1,0.2,1.6,0.9,5.9
Tristan Thompson,CLE,21.7,11.5,0.1,1.4,0.8,3.6
Trey McKinney-Jones,IND,1,0,0,0,0,0
Trey Lyles,DEN,25.3,20.6,0.2,2.3,1.5,5.9
Trey Burke,NYK,41.3,51.5,0.6,8.4,5.3,12.9
Trevor Booker,IND,26.9,18.4,0.1,2.5,1.4,5.2
Trevor Ariza,HOU,26,23.7,0.3,3.2,1.9,7.5
