Player,Team,AGE,FGM LESS THAN 5FT.,FGA LESS THAN 5FT.,FG% LESS THAN 5FT.,FGM 5-9 FT.,FGA 5-9 FT.,FG% 5-9 FT.,FGM 10-14 FT.,FGA 10-14 FT.,FG% 10-14 FT.,FGM 15-19 FT.,FGA 15-19 FT.,FG% 15-19 FT.,FGM 20-24 FT.,FGA 20-24 FT.,FG% 20-24 FT.,FGM 25-29 FT.,FGA 25-29 FT.,FG% 25-29 FT.
Aaron Brooks,MIN,33,0.3,0.6,46.7,0.1,0.3,25,0.3,0.5,55.6,0.1,0.2,75,0.2,0.4,54.5,0.2,0.7,26.3
Aaron Gordon,ORL,22,3.2,4.9,66.7,0.2,0.9,20,0.4,1.2,35.7,0.5,1.8,29.8,0.7,2.1,35.3,1.4,4.1,33.5
Aaron Harrison,DAL,23,0.6,1,55.6,0.1,0.2,50,0.1,0.4,25,0.3,1.1,30,0.4,2.6,17.4,0.6,2.3,23.8
Aaron Jackson,HOU,32,1,4,25,1,1,100,0,0,0,0,0,0,1,2,50,0,2,0
Abdel Nader,BOS,24,0.4,1.1,40.4,0.1,0.5,20,0,0.1,20,0,0.1,0,0.3,0.7,38.7,0.3,0.8,32.4
Adreian Payne,ORL,27,0.4,0.4,100,0.3,0.3,100,0,0,0,0.3,0.5,50,1,1.3,75,0,0.3,0
Al Horford,BOS,32,1.9,2.9,67.5,0.8,1.9,40.7,0.5,1.4,37.3,0.4,0.9,49.2,0.5,1.2,39.5,1,2.2,44.1
Al Jefferson,IND,33,1.3,2,61.6,0.7,1.4,51,0.7,1.1,63.2,0.5,1.2,39,0,0.2,16.7,0,0,0
Al-Farouq Aminu,POR,27,1.2,2.1,58.9,0.2,0.7,24.5,0,0.2,16.7,0,0.4,11.1,1,2.5,41.3,0.8,2.6,31.8
Alan Williams,PHX,25,0.8,1.4,57.1,0.6,1.6,37.5,0,0.6,0,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,26,1.2,2.1,56.8,0.2,0.8,29.2,0.2,0.7,34.1,0.2,0.6,38.9,0.4,1.2,37.8,0.4,1.2,30.3
Alec Peters,PHX,23,0.4,0.6,66.7,0,0,0,0,0,0,0.1,0.2,50,0.4,1.3,28,0.6,1.6,34.4
