PLAYER,TEAM,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH
Aaron Brooks,MIN,12.6,4.1,1.1,5.25,5.14,0.186,0,0,0.1,0,0,0
Aaron Gordon,ORL,59.9,31.8,2.4,2.44,1.65,0.294,1.8,2.3,3.9,0.68,0.458,0.974
Aaron Harrison,DAL,29.2,17.7,1.1,2.35,1.63,0.228,1,0,0.3,0,0,1.333
Abdel Nader,BOS,13.3,9.9,0.5,2.32,1.46,0.233,0.1,0.1,0.5,0,1,0.455
Adreian Payne,ORL,12.4,6.8,0.4,1.77,0.68,0.339,1,0.6,1,0.2,0.667,1
Al Horford,BOS,63.6,40.1,2.3,2.2,1.06,0.201,3.1,5.2,3.8,0.414,0.475,0.693
Al Jefferson,IND,26.7,15.9,0.8,1.76,0.42,0.262,2.4,3.8,2,0.424,0.765,0.877
Al-Farouq Aminu,POR,36.1,19.3,1.2,1.97,1,0.259,0.9,0.2,2.2,0.234,0.154,0.631
Alan Williams,PHX,23.4,15.6,0.6,1.66,0.54,0.171,5,2.2,2.8,0.16,0,0.643
Alec Burks,UTA,25.9,17.1,1.3,3,2.5,0.298,0.4,0,0.5,0.87,0,1.182
Alec Peters,PHX,16.5,10.3,0.4,1.38,0.34,0.249,0.6,0.2,1.1,0.333,0.667,0.81
Alex Abrines,OKC,15,9.5,0.5,1.93,1.14,0.318,0.2,0,0.4,0.667,0,0.667
Alex Caruso,LAL,29.5,10.5,2.1,4.26,3.7,0.123,0.3,0,0.6,0.333,0,0.917
Alex Len,PHX,32.1,19,0.8,1.47,0.35,0.265,4,1.8,6.3,0.375,0.402,0.873
Alex Poythress,IND,5.1,2.9,0.1,1.56,0.63,0.203,0.1,0,0.7,0.667,0,0.588
Alfonzo McKinnie,TOR,4.6,2.9,0.1,1.84,0.95,0.328,0,0,0.1,0,0,2
Allen Crabbe,BKN,43.2,32.3,1.2,1.68,0.79,0.305,0.5,0,0.7,0.794,0,0.588
Amir Johnson,PHI,26.9,18.8,0.6,1.38,0.46,0.172,4,0.5,4.4,0.158,0.231,0.668
Andre Drummond,DET,52.3,39.1,1.8,2.07,0.82,0.287,5.4,3.4,11.7,0.278,0.487,0.944
Andre Iguodala,GSW,44.3,23.4,2.3,3.05,2.01,0.135,1.2,1,1.8,0.284,0.266,0.707
Andre Ingram,LAL,34,25,0.9,1.57,1.13,0.353,0,0.5,0.5,0,0,0
Andre Roberson,OKC,24.5,14.3,0.5,1.28,0.41,0.2,0.9,0,3.9,0.515,0,0.66
Andrew Bogut,LAL,15.1,8.2,0.4,1.69,0.53,0.099,1.3,0.3,2,0.188,0,0.75
Andrew Harrison,MEM,54.4,25.1,4.3,4.77,4.36,0.175,0.5,0,0.4,0.556,1,0.143
Andrew White III,ATL,15.3,11.3,0.5,1.81,1.02,0.3,0.3,0,0.4,0.4,0,0.667
Andrew Wiggins,MIN,42.5,31.7,2.1,2.9,1.95,0.416,0.5,2.5,2.3,0.636,0.665,1.122
Ante Zizic,CLE,8.7,4.8,0.2,1.7,0.48,0.427,1,0.9,2.3,0.419,0.571,1.123
Anthony Brown,MIN,5,2,0.2,2.32,1.8,0.6,0,0,0,0,0,0
Anthony Davis,NOP,71.7,43.9,2.3,1.93,0.85,0.392,4.4,6.4,10.1,0.681,0.614,1.153
Anthony Tolliver,DET,46.1,20.4,1,1.34,0.28,0.193,0.7,0.1,1,0.107,0.667,0.772
Antonio Blakeney,CHI,18.4,14.8,0.8,2.73,2.2,0.431,0.2,0,0.4,0,0,1.143
Antonius Cleveland,ATL,5.9,4.3,0.2,1.91,1.19,0.23,0.1,0,0.5,0,0,0.5
Aron Baynes,BOS,28.2,19.1,0.7,1.54,0.38,0.21,3,1.4,4.6,0.342,0.541,0.711
Arron Afflalo,ORL,14.1,10.9,0.5,2.03,1.01,0.24,0.3,1.1,0.2,0.667,0.345,0.4
Austin Rivers,LAC,68.9,33,5.2,4.52,4.03,0.215,0.6,0,1,0.649,0,0.65
Avery Bradley,LAC,40.3,34.8,1.4,2.08,1.33,0.354,1.2,0,1.4,0.434,2,0.848
Bam Adebayo,MIA,27.3,20.1,1,2.16,0.77,0.256,5,2.7,4.8,0.127,0.187,0.892
Ben McLemore,MEM,27.9,19,0.9,1.91,1.13,0.27,0.9,0,1.4,0.48,0,0.775
Ben Moore,IND,4,1.5,0.1,1.12,0.37,0,0,0,0.5,0,0,0
Ben Simmons,PHI,95,34,7,4.45,3.53,0.166,1.3,3.2,4.6,0.613,0.197,0.764
Bismack Biyombo,ORL,30.3,15.1,0.8,1.52,0.28,0.189,2.9,0.5,5.3,0.295,0.579,0.727
Blake Griffin,DET,86.3,51,4,2.81,1.95,0.248,3.9,6.4,3.2,0.384,0.436,0.76
Boban Marjanovic,LAC,13.3,8.8,0.4,1.65,0.36,0.453,1.1,3.2,4.5,0.244,0.635,0.943
Bobby Brown,HOU,12,6.5,0.9,4.41,3.91,0.209,0.1,0,0,0,0,0
Bobby Portis,CHI,43,27.3,1.3,1.76,0.85,0.307,2.2,2.6,4.3,0.362,0.613,0.889
Bogdan Bogdanovic,SAC,48.8,33.4,2.5,3.13,2.31,0.241,0.7,0.3,1,0.509,0.583,0.654
Bojan Bogdanovic,IND,36.1,29.3,1.3,2.09,1.18,0.395,0.9,0.3,0.9,0.87,0.462,1.133
Bradley Beal,WAS,70.2,43,4.6,3.94,3.27,0.323,0.8,0.4,1.4,0.563,0.484,0.766
Brandan Wright,HOU,19.7,11.3,0.5,1.61,0.59,0.252,1.8,0.5,3.7,0.255,0.533,0.942
Brandon Ingram,LAL,56.7,34.4,3.7,3.94,2.94,0.284,1,0.9,2.3,0.579,0.415,0.881
Brandon Jennings,MIL,36.7,11.9,2.9,4.69,4.6,0.142,0.1,0.1,0.1,0,0,0
Brandon Paul,SAS,11.3,8,0.4,1.98,1.1,0.204,0.2,0,0.3,0.833,0,1.091
Briante Weber,MEM,27.2,9,1.9,4.15,3.77,0.102,0.2,0.1,0.5,0,0,0.222
Brice Johnson,MEM,9.9,4.8,0.2,1.44,0.42,0.242,0.7,0.3,0.9,0.615,1,0.938
Brook Lopez,LAL,37.2,26.1,1.1,1.74,0.54,0.349,3,5.5,3.1,0.416,0.495,0.948
Bruno Caboclo,SAC,13.5,6.4,0.3,1.27,0.27,0.16,0.3,0.7,0.8,0.667,0.75,0.8
Bryn Forbes,SAS,21.5,16.4,0.8,2.33,1.74,0.322,0.3,0,0.2,0.333,0,0.692
Buddy Hield,SAC,38.6,27.2,1.8,2.74,2.09,0.35,0.5,0,0.8,0.561,1,0.828
C.J. Williams,LAC,20.6,14.7,0.7,2.03,1.21,0.267,0.1,0,0.7,0.8,0,1.04
CJ McCollum,POR,59,31.1,4.4,4.53,4.14,0.362,0.5,0,0.8,0.537,0,0.738
CJ Miles,TOR,22.8,17.1,0.6,1.63,0.83,0.439,0.2,0,0.2,0.429,0,0.929
Caleb Swanigan,POR,9.3,6.3,0.3,2,0.6,0.244,1,1,1.9,0.269,0.222,0.784
Cameron Payne,CHI,57.6,21.2,3.8,3.98,3.32,0.154,0.2,0,0.7,0.4,0,0.722
Caris LeVert,BKN,50.9,28.2,3.4,4,3.53,0.235,0.4,0,1.2,0.423,0,0.6
Carmelo Anthony,OKC,53.9,28.5,1.8,2.06,0.97,0.302,1.4,3.6,1.4,0.429,0.654,0.981
Cedi Osman,CLE,14.7,7.7,0.6,2.25,1.46,0.266,0.1,0,0.5,0.5,0,0.727
Chandler Parsons,MEM,30.3,22.3,1.3,2.56,1.51,0.26,0.4,0.3,0.5,0.429,0.182,0.889
Channing Frye,LAL,22.1,11.2,0.6,1.52,0.45,0.225,0.6,0.7,0.9,0.424,0.676,1.063
Charles Cooke,NOP,3.3,2.2,0.1,2.61,1.7,0.14,0,0,0,0,0,0
Cheick Diallo,NOP,17.3,7.2,0.4,1.42,0.31,0.283,0.9,0.4,2.5,0.833,0.727,0.992
Chinanu Onuaku,HOU,26,18,0.7,1.66,0.38,0.154,3,3,4,0,0.667,0
Chris Boucher,GSW,4,3,0.1,1.63,0,0,0,0,0,0,0,0
Chris McCullough,WAS,9.5,4.5,0.2,1.49,0.58,0.256,0.5,0.1,1,0.222,0,0.737
Chris Paul,HOU,71.4,24.3,6.8,5.72,5.1,0.259,0.4,1.3,0.7,0.625,0.487,0.421
Clint Capela,HOU,51.5,25.3,1.3,1.48,0.35,0.265,5.1,0.7,10.7,0.516,0.636,0.919
Cody Zeller,CHA,19.8,14.6,0.5,1.51,0.63,0.356,3.1,0.2,4.5,0.406,0.4,0.812
Cole Aldrich,MIN,3.8,2,0.1,1.47,0.28,0.15,0.4,0.1,0.8,0.333,0.667,0.563
Corey Brewer,OKC,16.2,10.2,0.5,1.98,1.26,0.325,0.4,0,1.1,0.519,0,0.671
Cory Joseph,IND,51.6,22,3.8,4.37,4.52,0.153,0.5,0,0.5,0.59,0.5,0.553
Courtney Lee,NYK,38.5,29.3,1.8,2.78,1.91,0.309,0.9,0,0.9,0.515,2,0.8
Cristiano Felicio,CHI,21,15.9,0.7,1.87,0.6,0.266,2.9,1.3,4.1,0.34,0.338,0.749
D'Angelo Russell,BKN,66.5,29.8,5.2,4.69,4.05,0.233,0.4,0.3,0.8,0.474,0,0.825
D.J. Augustin,ORL,52.4,21.6,4.4,4.99,5.12,0.195,0.3,0,0.5,0.731,0,0.371
D.J. Wilson,MIL,5,2.7,0.1,1.55,0.42,0.193,0.5,0,0.2,0.2,0,0.8
Dakari Johnson,OKC,5.9,4.1,0.2,1.9,0.59,0.303,0.4,0.5,0.9,0.308,0.867,0.556
Damian Jones,GSW,7.3,4.7,0.2,1.49,0.3,0.229,0.7,0.3,1.7,0,0,0.72
Damian Lillard,POR,82.2,30.1,7.9,5.75,5.33,0.327,0.5,0,0.8,0.615,1,0.695
Damien Wilkins,IND,10.2,7.9,0.4,2.49,1.36,0.171,0.2,0.2,0.4,0,0.5,0
Damion Lee,ATL,41,25.3,1.9,2.77,1.96,0.262,0.6,0,1.3,0.667,0,0.789
Damyean Dotson,NYK,13.8,10.6,0.5,2.03,1.26,0.299,0.2,0,0.5,0.4,0,1
Daniel Hamilton,OKC,11.2,4,1,5.22,4.92,0.179,0.2,0,0,0,0,0
Daniel Theis,BOS,23.7,15.1,0.6,1.59,0.34,0.228,1.3,0.5,3.4,0.468,0.467,0.846
Danilo Gallinari,LAC,51.5,32.1,2.2,2.55,1.29,0.297,1,2.3,2,0.8,0.458,0.81
Danny Green,SAS,38.6,26,1.3,2.07,1.14,0.222,0.5,0,0.9,0.5,0,0.656
Dante Cunningham,BKN,27.9,14.6,0.6,1.25,0.27,0.204,0.8,0.2,2.1,0.579,0.118,0.713
Dante Exum,UTA,35.4,14.1,2.6,4.45,3.93,0.23,0.4,0,0.8,0.8,0,0.545
Danuel House,PHX,21,14.7,0.7,2.13,1.17,0.315,0.5,0.1,1,0.636,0,1.042
Dario Saric,PHI,60.4,38.1,1.6,1.61,0.62,0.242,2.9,2,4.3,0.386,0.383,0.764
Darius Miller,NOP,23.1,17,0.7,1.75,0.86,0.336,0.4,0,0.3,0.333,0,0.19
Darrell Arthur,DEN,11.8,7.3,0.3,1.45,0.4,0.24,0.6,0.2,1,0.364,0.5,0.737
Darren Collison,IND,63,27,4.8,4.61,4.19,0.197,0.3,0,0.5,0.944,0,1
Darrun Hilliard,SAS,9.7,6.5,0.5,2.79,1.89,0.118,0.1,0,0.1,0,0,0
David Nwaba,CHI,23.5,16.4,1,2.57,2.02,0.337,0.7,0.4,2.3,0.481,0.714,0.925
David Stockton,UTA,7,1.7,0.8,7.13,6.72,0.476,0,0,0,0,0,0
David West,GSW,26.5,19.2,0.8,1.72,0.5,0.256,2.7,3.4,3.3,0.495,0.271,0.988
Davis Bertans,SAS,24.2,13.6,0.6,1.4,0.5,0.245,0.3,0.1,0.7,0.25,0.6,0.922
Davon Reed,PHX,15.9,9.9,0.6,2.29,1.5,0.189,0.3,0,0.3,0.667,0,0.5
De'Aaron Fox,SAC,67.8,23.4,5.3,4.65,4.37,0.17,0.4,0,0.7,0.581,0,0.692
DeAndre Jordan,LAC,55.3,25.6,1.4,1.53,0.23,0.217,2.7,1.5,10.3,0.24,0.277,0.972
DeAndre Liggins,NOP,12.3,8.5,0.5,2.47,1.75,0.144,0.1,0,0.2,0,3,0.889
DeAndre' Bembry,ATL,29.9,18.6,1.5,3.08,2.43,0.182,0.3,0.1,1,0.714,0,0.654
DeMar DeRozan,TOR,63.3,38.2,4.9,4.68,3.99,0.363,1.4,1.2,1.1,0.618,0.452,0.857
DeMarcus Cousins,NOP,89.4,57,3.9,2.59,1.29,0.282,4,7.5,5,0.258,0.445,0.938
DeMarre Carroll,BKN,51.3,31.6,2.1,2.48,1.47,0.267,0.4,0.2,1.8,0.615,0,0.651
